Athletics Monograph,7/30/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd2.pdf
Cost,price,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd3.txt
Diversity Intro,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd4.txt
Diversity&Exc 7.2+hist,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd5.txt
Education intro,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd6.txt
Education mono,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd7.pdf
Intellect Trans Mono,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd8.txt
M-Union Mono,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd9.txt
Media U Intro,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd10.txt
sun/structure,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd36.txt
Strategic Plan text,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd12.pdf
Strategy appendx 1,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd13.txt
Strategy appndx 2,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd14.txt
Strategy appndx 3,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd15.txt
Strategy appndx 4,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd16.txt
sun/agenda list 1,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd18.txt
sun/bedrock,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd21.txt
sun/agenda list 2,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd19.txt
sun/buildings list,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd22.txt
sun/change,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd23.txt
sun/constant change,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd24.txt
sun/diversity,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd25.txt
sun/educ list,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd26.txt
sun/education,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd27.txt
State of the U,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd11.txt
sun/leaders list,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd29.txt
sun/leaders firsts list,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd28.txt
sun/leaders top 10 list,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd31.txt
sun/nurture growth,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd32.txt
sun/outreach list,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd33.txt
sun/rankings list,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd34.txt
sun/service,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd35.txt
sun/leaders text,8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd30.txt
"sun/agenda,mandate,access",8/1/96,Q:\Homefolders\eckardm\Desktop\duderstadt-redux\9811_0001\Legacy\JJDLE1\jjd20.txt
