id,title,ead
0080,National Housewives League of America,nathwive.xml
02115,Andrew S. Watson,watsonas.xml
03171,Mike Wallace CBS/60 Minutes Files,wallm60m.xml
0601,Leslie Bassett Papers,bassettl.xml
06100,"West Side United Methodist Church (Ann Arbor, Michigan)",westmeth.xml
0648,"Canterbury House (Ann Arbor, Mich.) Records",canterby.xml
0732,George Lincoln Rockwell sound recording,rockwellgl.xml
2009039,Arthur W. Kramer sound recordings,krameraw.xml
2009045,George Cacioppo papers,cacioppo.xml
2010191,Jane Briggs Hart,hartjane.xml
2010215,Boyne USA Resorts records ,boyneusa.xml
2012151,Tommy Good collection.  ,
851077,George William Cushing papers and sound recordings,cushgeo.xml
851326,Michigan Fellowship of Reconciliation records,mifelrec.xml
851378,Martha W. Griffiths papers,griffmar.xml
8514,Guild House records,ghouse.xml
851647,Harlan Hatcher,hatcherh.xml
851649,Paul Blanshard papers,blanshar.xml
851732,James Frederick Lawton papers,lawtonjf.xml
85177,"Esquire, Inc. records",esquire.xml
85187,Homer Ferguson papers.,ferguson.xml
85188,Arnold Gingrich,gingrich.xml
851917,Irene Ellis Murphy,murphyi.xml
85199,Edward N. Hartwick papers,hartwick.xml
852178,George W. Romney papers (Governor's Papers),romneyg.xml
852228,Lenore LaFount Romney papers,romneyll.xml
85232,Robben W. Fleming,flemingr.xml
85287,Michigan Organization for Human Rights records,mohr.xml
85506,Robert F. Williams papers,rfwms.xml
85519,Post family papers,postfam.xml
85530,Donald S. Leonard,leonardd.xml
85686,Democratic Party of Michigan records,demparty.xml
85816,Republican Party. (Mich.) State Central Committee,repscc.xml
85817,Neil Staebler,staeblrn.xml
86314,Hilary Whittaker papers,whitthil.xml
8634,Blair Moody,moodyb.xml
86734,Frank Murphy Papers,murphyf.xml
86996,Institute of Gerontology (University of Michigan) ,iogeront.xml
87140,Clare Hoffman,choffman.xml
87334,Eclipse Jazz (University of Michigan) records,eclipsej.xml
8740,Center for the Education of Women (University of Michigan) records,cew.xml
8742,Center for Japanese Studies,cjsum.xml
90139,Historica Critica records,histcrit.xml
921506,Mark Nickerson papers,nickersonm.xml
93268,Frederick E. Moncrieff ,moncrief.xml
9580,Carlos P. Romulo sound recording,romulocarlos.xml
9588,Archibald R. Hallock papers,hallockarch.xml
9594,Randy Pratt papers,prattrandy.xml
9616,Walter Drew (Microfilm),drewwalt.xml
9859,Galens Medical Society records,galens.xml
9997,D.C. Allen House of David collection,hofdavid.xml
